#{"t_start": 1716098826.586838, "env_id": "Sprites-v0"}
r,l,t
29.561799,40,0.758399
28.804989,40,0.813139
32.23687,40,6.651048
29.030062,40,6.707989
23.563053,40,6.765478
28.340885,40,7.813534
24.998817,40,7.873131
28.346498,40,8.92208
28.132304,40,8.980678
25.117566,40,9.034442
28.674437,40,10.077581
30.673352,40,10.131923
26.122477,40,11.167197
21.274606,40,11.223131
28.664152,40,11.276576
32.401937,40,12.316825
31.526961,40,12.371205
28.384056,40,13.406675
32.116881,40,13.460078
24.761454,40,13.514605
28.712402,40,14.550088
29.873168,40,14.603975
25.854323,40,15.639617
30.721706,40,15.694257
31.15357,40,15.749146
27.098191,40,16.787241
23.785108,40,16.841407
29.225444,40,20.297592
27.744182,40,20.367611
29.80903,40,20.421796
19.209585,40,21.467915
21.414838,40,21.522413
34.531345,40,22.56566
28.986454,40,22.619831
26.595767,40,22.675265
30.135194,40,23.71541
27.901595,40,23.769705
32.045773,40,24.8093
24.849107,40,24.863407
32.684004,40,24.916317
29.382024,40,25.95727
28.275572,40,26.012165
28.589279,40,27.04938
27.671592,40,27.103054
28.760307,40,27.155545
28.582824,40,28.20318
28.286842,40,28.256369
29.223792,40,29.297383
25.353776,40,29.351069
23.922615,40,29.407009
28.051546,40,30.444223
29.959865,40,30.499157
27.018373,40,33.947381
25.872782,40,34.013476
30.673956,40,34.067287
27.76392,40,35.108171
26.507473,40,35.162924
23.830523,40,36.200128
26.485839,40,36.255187
30.258497,40,36.309262
25.18946,40,37.350806
22.528726,40,37.405081
25.933702,40,38.455067
26.505292,40,38.508103
18.243863,40,38.563123
18.225054,40,39.599219
23.504778,40,39.653417
25.111453,40,40.694531
24.64284,40,40.748885
24.746716,40,40.803732
30.118801,40,41.839479
22.407164,40,41.894197
26.468912,40,42.935854
24.659017,40,42.991139
28.740617,40,43.045003
29.036994,40,44.10274
20.261467,40,44.158422
24.983002,40,47.614858
23.083502,40,47.679623
22.354738,40,47.738082
25.676039,40,48.775876
30.918383,40,48.833978
31.437039,40,49.874732
31.250038,40,49.932515
19.497379,40,49.987757
36.034994,40,51.039228
