#{"t_start": 1716739079.6912994, "env_id": "Sprites-v0"}
r,l,t
28.542855,40,1.340261
34.260098,40,1.622322
33.097685,40,1.920281
23.204426,40,2.171388
23.283736,40,2.449753
29.242394,40,13.312925
32.222058,40,13.539525
31.289344,40,13.701336
31.483404,40,13.869166
29.322466,40,14.032493
30.53193,40,15.574454
28.729932,40,15.737639
27.45645,40,15.898705
32.598388,40,16.056954
29.835226,40,16.212026
30.888544,40,17.7514
30.534568,40,17.908273
29.068316,40,18.066344
26.407818,40,18.22269
28.407883,40,18.385482
28.126392,40,19.911616
30.425437,40,20.076076
22.446322,40,20.236877
19.3054,40,20.400619
27.918099,40,20.566277
30.079482,40,22.098706
21.789378,40,22.252345
27.899064,40,22.431928
22.257675,40,22.601311
28.812739,40,22.938812
31.028807,40,24.495151
28.929182,40,24.635636
28.462673,40,24.788368
34.410535,40,25.020778
28.41012,40,25.32805
25.216915,40,26.864105
28.191413,40,27.028628
28.66393,40,27.189605
24.568507,40,27.505284
29.731783,40,27.746172
30.150963,40,29.232216
25.730189,40,29.400199
26.559643,40,29.559738
24.402674,40,29.820531
30.246302,40,30.037755
28.486146,40,31.604034
28.219458,40,31.770336
28.944485,40,31.922488
30.165774,40,32.253792
33.609502,40,32.514565
29.181531,40,34.119601
35.107038,40,34.274934
28.901905,40,34.506071
30.290599,40,34.723277
27.573488,40,34.930017
27.336275,40,36.447499
31.639906,40,36.612526
22.954856,40,36.766895
29.098627,40,36.999572
25.003921,40,37.266858
29.107486,40,38.783423
29.553771,40,38.954236
30.487878,40,39.111891
32.465798,40,39.331529
24.639028,40,39.58145
24.953341,40,41.040032
30.692964,40,41.205922
30.749281,40,41.351089
25.170045,40,41.510189
27.483412,40,41.629501
29.989222,40,42.732174
22.79373,40,42.844172
28.285622,40,42.955973
28.111494,40,43.05745
26.581446,40,43.176381
20.599522,40,44.293607
31.64546,40,44.416452
21.203885,40,44.533489
29.883998,40,44.648433
28.71119,40,44.75991
31.972963,40,45.870322
25.269951,40,46.038348
32.383243,40,46.267581
26.06547,40,46.530035
30.020516,40,46.772563
28.108601,40,48.240216
26.95308,40,48.393631
23.314467,40,48.612954
25.745932,40,48.811643
28.976162,40,48.998764
30.758642,40,50.472827
30.695665,40,50.631862
34.105922,40,50.804118
31.022353,40,51.057166
29.31073,40,51.323255
32.572544,40,52.789448
32.142799,40,52.95025
27.566467,40,53.113113
28.504625,40,53.319763
28.42011,40,53.605878
30.74742,40,55.05336
26.159418,40,55.211002
22.270247,40,55.364473
28.972048,40,55.644604
28.204156,40,55.990462
31.853349,40,62.063532
28.425025,40,62.327924
33.210974,40,62.576766
26.393738,40,62.868736
26.45195,40,63.184283
30.974227,40,64.886976
24.934703,40,65.244927
30.904286,40,65.588225
23.419397,40,65.838296
24.77187,40,66.162179
27.853785,40,67.750931
22.773366,40,68.11456
29.33279,40,68.47176
21.226535,40,68.827356
28.524759,40,69.189806
29.404941,40,70.865103
34.117858,40,71.222983
31.049876,40,71.588048
26.793846,40,71.904536
