Update,Num Timesteps,FPS,Mean Reward,Median Reward,Min Reward,Max Reward,Dist Entropy,Value Loss,Action Loss
0,3200,967,26.4783812,27.107304999999997,19.093844,30.603682,2.8459198335185647,30.09958876669407,-0.03978147070142768
1,6400,438,29.0051964,30.387461000000002,23.654125,34.341614,2.840625213459134,29.767483077943325,-0.03882023546077562
2,9600,572,28.508540599999996,27.5526955,22.111361,36.53708,2.837877035140991,29.860102355480194,-0.04513825260619342
3,12800,676,28.119021299999996,29.0064085,18.450832,34.783527,2.837877035140991,30.251796647906303,-0.05124490051844077
4,16000,757,28.996848900000003,29.176319499999998,23.302031,33.080912,2.837877035140991,29.955967597663403,-0.05061985214206288
5,19200,816,29.9823965,30.3452635,25.632814,33.995206,2.837877035140991,30.480286985635757,-0.0555237303129843
6,22400,865,27.3145731,27.105978,22.459779,32.788458,2.837877035140991,30.764667324721813,-0.055476646649822214
7,25600,906,29.374404699999996,30.599853500000002,24.331199,34.954902,2.837877035140991,30.702708050608635,-0.057146409497590867
8,28800,941,28.3826325,28.932544,21.542646,32.154264,2.837877035140991,30.41849721223116,-0.05921225114320805
9,32000,965,27.8484494,28.053932500000002,22.083509,31.647612,2.837877035140991,31.045171193778515,-0.06571925195099126
10,35200,992,27.3447874,27.068101,24.133311,32.046273,2.837877035140991,31.731683164834976,-0.06287526780943153
11,38400,1016,29.915324799999997,30.794812,23.702173,36.131377,2.837877035140991,31.707787610590458,-0.06442000745039422
12,41600,1038,27.8895353,27.656933,24.652989,31.708619,2.837877035140991,29.98916771262884,-0.06838303228164477
13,44800,1072,28.253218800000003,28.6647525,21.780793,31.231695,2.837877035140991,31.752942077815533,-0.06841720021168385
14,48000,1107,28.4617748,28.595584000000002,22.768966,33.832092,2.837877035140991,31.438799433410168,-0.07088505105105014
15,51200,1139,26.797193099999998,27.2950455,20.494184,33.283348,2.837877035140991,31.54957939684391,-0.07307721448341908
16,54400,1151,27.784771,28.267127000000002,21.036537,32.561784,2.837877035140991,30.933856658637524,-0.07580507079376275
17,57600,1163,29.6235078,30.325677,24.484565,34.926113,2.837877035140991,31.878878623247147,-0.07500613580987192
18,60800,1173,30.092510499999996,29.903854000000003,27.600669,32.77897,2.837877035140991,31.52941580861807,-0.07698017787822664
19,64000,1183,27.803227099999997,27.9622915,22.699461,31.999047,2.837877035140991,31.923862762749195,-0.07655404717911551
20,67200,1188,28.902624399999997,29.1517195,25.545057,33.188081,2.837877035140991,31.653547920286655,-0.07926499689983757
21,70400,1103,29.815239400000003,29.3417165,24.57805,35.671826,2.837877035140991,31.455038711428642,-0.07936650085866859
22,73600,1103,28.950023799999997,28.824148,25.247578,32.201598,2.837877035140991,31.348660461604595,-0.08122838616452555
23,76800,1100,29.339749300000005,30.260548,25.317639,34.531804,2.837877035140991,32.264652751386166,-0.07896696013676774
24,80000,1098,29.270176000000003,28.8955905,23.75098,35.690266,2.837877035140991,31.888215705752373,-0.08241219800993349
25,83200,1095,28.981729899999998,29.477397,20.777424,35.557936,2.837877035140991,31.582453332841396,-0.08158024126947794
26,86400,1094,28.2143509,28.7550015,18.881311,34.52356,2.837877035140991,32.02083157002926,-0.08447400219256451
27,89600,1096,28.5963616,28.280438500000002,24.750572,32.306578,2.837877035140991,31.645361073315144,-0.08214979373008191
28,92800,1099,28.888880899999997,28.5813935,24.181416,33.323944,2.837877035140991,31.198282778263092,-0.08221517423351088
29,96000,1104,28.9651031,30.2221295,23.411563,32.797849,2.837877035140991,31.226008363068104,-0.08189426208230088
30,99200,1106,30.239854200000003,30.738619,25.840057,34.372362,2.837877035140991,32.26556929200888,-0.08085063998464648
31,102400,1105,28.716624200000002,27.422385499999997,23.86107,33.864683,2.837877035140991,30.860097862780094,-0.08526112519245999
32,105600,1102,28.516639399999995,28.081921,24.647116,32.689868,2.837877035140991,30.648955434560776,-0.08437952903159385
33,108800,1117,29.9839237,29.5008635,26.373945,33.598263,2.837877035140991,31.067402966320515,-0.08838922463201015
34,112000,1132,29.4174172,28.725554000000002,26.010753,32.527172,2.837877035140991,32.31072597950697,-0.08453867689081562
35,115200,1146,26.849821199999997,26.5807175,19.374716,32.440723,2.837877035140991,30.676652066409588,-0.08315396176703871
36,118400,1149,28.223318300000006,28.924215500000003,22.241554,30.911591,2.837877035140991,31.682216063141823,-0.08460109913085034
37,121600,1152,28.8439257,28.9559165,24.519436,34.966243,2.837877035140991,31.03412476181984,-0.08332917574034582
38,124800,1156,27.2719265,27.615015,21.665408,31.291035,2.837877035140991,31.511981964111328,-0.0839382548562071
39,128000,1162,28.617368,28.9054395,23.895219,31.648866,2.837877035140991,32.50708770006895,-0.08428324796250308
40,131200,1167,28.2040317,28.5747755,23.418789,32.114069,2.837877035140991,30.36959880590439,-0.08404456867106092
41,134400,1127,28.1666789,28.4175075,25.851059,30.349058,2.837877035140991,32.22170966118574,-0.08279924272108019
42,137600,1130,28.9497606,29.178598,24.146328,33.563995,2.837877035140991,30.49665280431509,-0.08315851100678628
43,140800,1134,27.5860719,27.2643965,23.581786,33.355305,2.837877035140991,31.580105170607567,-0.08315928437900766
44,144000,1138,29.1587994,29.6359155,24.457489,32.004429,2.837877035140991,32.75694931298494,-0.08306295172155842
45,147200,1142,27.462125399999998,27.722793000000003,23.952716,30.838996,2.837877035140991,31.378774635493755,-0.08019803265062819
46,150400,1146,28.492126800000005,28.2745045,23.037281,32.904482,2.837877035140991,29.510958954691887,-0.0834242205752247
47,153600,1150,27.979485599999997,27.453414000000002,22.569114,34.137692,2.837877035140991,31.01621402800083,-0.07399386162603605
48,156800,1154,27.7672661,27.9020235,21.147943,31.106641,2.837877035140991,30.188820101320744,-0.08015874724330274
49,160000,1158,27.9874228,27.862023999999998,26.225022,30.927137,2.837877035140991,31.09202978014946,-0.08357175016305973
50,163200,1161,27.6748226,27.6443455,24.255004,31.391842,2.837877035140991,30.357448779046535,-0.07781891112483663
51,166400,1164,28.038343000000005,27.935576,24.626779,31.39496,2.837877035140991,32.72480423748493,-0.08452225599194207
52,169600,1167,29.4108681,29.965557,25.518019,33.802953,2.837877035140991,32.05106654018164,-0.07945109245611093
53,172800,1175,27.9057768,28.4220565,16.517042,33.969189,2.837877035140991,31.528786659240723,-0.08266780774670224
54,176000,1184,27.945847599999997,27.575280499999998,24.016167,32.641979,2.837877035140991,30.342638887465,-0.08175359191000098
55,179200,1193,27.522195099999998,27.754255999999998,18.447701,35.192683,2.837877035140991,31.21537085622549,-0.08367561520185518
56,182400,1194,28.271455800000002,28.5985525,22.575107,32.322272,2.837877035140991,31.208412379026413,-0.08090742436093024
57,185600,1197,29.1949059,29.7402405,24.670644,31.546551,2.837877035140991,31.666545800864697,-0.08453774192491892
58,188800,1202,27.404569400000003,28.0211705,20.384,30.620203,2.837877035140991,30.217651918530464,-0.08404981179478455
59,192000,1204,28.688837999999997,28.067584,26.251482,31.964628,2.837877035140991,30.15390335023403,-0.08407518335161512
60,195200,1208,28.370011599999998,28.4049425,23.038001,32.927187,2.837877035140991,30.61750342696905,-0.07923434973281474
61,198400,1177,27.3002337,27.133868,24.882679,30.403007,2.837877035140991,30.591342747211456,-0.08241791653131258
